song,  singer, time,    class, rating
"
            Alright,Still
       ",Lily Allen ,2006, 流行,8.3
"
            大小說家
                ",林宥嘉 , 2012-06-22 , 流行,7.9
"
            越长大越孤单
       ",牛奶@咖啡 , 2008-03-18 , 流行,7.6
"
            燕尾蝶
                ",梁静茹 ,2004, 流行,8
"
            原谅我就是这样的女生
                ",戴佩妮 , 2009-05-16 , 流行,7.6
"
            传奇
       ",王菲 , 2010-11-05 , 民谣,9.2
"
            Under the Radar
       ",Daniel Powter , 2008-10-14 , 流行,8.3
"
            知足 MV / Karaoke DVD
       ",五月天 ,2006, 流行,9.2
"
            我的歌声里
       ",曲婉婷 , 2012-07-01 , 流行,7.7
"
            王菲
                ",王菲 , 1997-09-30 , 流行,9.2
"
            信仰在空中飘扬
       ",汪峰 , 2009-07-25 , 摇滚,8.7
"
            [i]
                ",莫文蔚 , 2002-04-29 , 流行,8.7
"
            Songs About Jane
       ",Maroon 5 ,2002, 流行,8.5
"
            Back To Black
       ",Amy Winehouse , 2006-11-30 ,R&B,8.5
"
            Demo 3
       ",陈绮贞 , 2001-11-09 , 流行,9.1
"
            克卜勒
                ",孙燕姿 , 2014-02-27 , 流行,8.4
"
            9 Crimes
       ",Damien Rice , 2006-11-27 , Audio CD,9.4
"
            如果有一件事是重要的
                ",陈珊妮 , 2008-11-22 , 流行,8.2
"
            赤裸裸
                ",郑钧 ,1994, 摇滚,8.8
"
            阿岳正传
                ",张震岳 , 2004-06-24 , 流行,9
"
            3颗猫饼干
                ","朱玫玲,董運昌,王雁盟,何真真 ",2004, CD,9.1
"
            21 Guns
       ",Green Day , 2009-07-14 , Audio CD,9.2
"
            看我72变
       ",蔡依林 , 2003-05-22 , 流行,8.2
"
            第二人生 明日版
                ",五月天 , 2011-12-20 , 流行,9
"
            Definitely Maybe
                ",Oasis , 1994-08-30 , 摇滚,9
"
            First Love
                ",宇多田ヒカル ,1999, 流行,9.1
"
            阿密特
                ",张惠妹 , 2009-06-26 , 流行,7.7
"
            心跳
                ",王力宏 , 2008-12-26 , 流行,7.1
"
            xx
       ",The xx , 2009-08-17 , 摇滚,8.7
"
            回蔚
       ",莫文蔚 , 2009-06-23 , 流行,8
"
            如果看見地獄，我就不怕魔鬼
                ",Tizzy Bac , 2009-02-13 , 流行,8.1
"
            我们是五月天
       ",五月天 ,2003年4月17日, CD,9.3
"
            王妃
                ",萧敬腾 , 2009-07-17 , CD,7.7
"
            Poker Face
                ",Lady Gaga ," September 23, 2008 ", Audio CD,8.7
"
            唐朝
                ",唐朝 , 1992-12 , 摇滚,9
"
            寻找周杰伦
       ",周杰伦 , 2003-12-1 , 流行,8.5
"
            她说
                ",林俊杰 , 2010-12-08 , 流行,7.7
